id,region,display_name,program_count,programs_normalized,merged_row_count,source_lines
3236e7b41ba3a7ac,Nord,ECOLE PRIVEE DES INFIRMIERS DE GAROUA,1,Infirmiers,1,291
69793780a4625940,Nord,ECOLE PRIVEE DES INFIRMIERS DE GAROUA (EPIG),1,Sages-femmes/Maïeuticiens,1,560
014d311ed0c5e305,Nord,INSTITUT DES SCIENCES DE LA SANTE DE NGONG (I3SN),1,Sages-femmes/Maïeuticiens,1,562
6b50acc01759ee90,Nord,INSTITUT DES SCIENCES DE LA SANTE DE PITOA,1,Sages-femmes/Maïeuticiens,1,561
a7c9c6cefa1029f1,Nord,INSTITUT DES SCIENCES DE LA SANTE DE PITOA (ISSP),2,Analyses Médicales | Infirmiers,2,119 | 292
47f99324b0792bc4,Nord,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE DE NGONG (I3SN),2,Analyses Médicales | Infirmiers,2,121 | 293
704923a37b879cbe,Nord-Ouest,BAMENDA FLORENCE NIGHTINGAL (HIH-BS) SCHOOL FOR HEALTH,1,Infirmiers,1,298
aabcc6063fbfe449,Nord-Ouest,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAMENDA,1,Infirmiers,1,299
8d3eee2fb8dd70a1,Nord-Ouest,ECOLE DES SAGES FEMMES DE BAMENDA,1,Sages-femmes/Maïeuticiens,1,566
b86700669cda919d,Nord-Ouest,ECOLE DES TECHNICIENS MEDICO-SANITAIRES DE BAMENDA,1,Analyses Médicales,1,123
74de44a3ccb3303c,Nord-Ouest,"ECOLE PRIVEE ""FULL GOSPEL TRAINING SCHOOL FOR HEALTH PERSONNEL"" DE BAMENDA",1,Infirmiers,1,300
802bb96f70033fb5,Nord-Ouest,"ECOLE PRIVEE ""NATIONAL POLYTECHNIC"" DE BAMBUI",1,Infirmiers,1,301
01f0a727f20e6332,Nord-Ouest,ECOLE PRIVEE CATHOLIQUE DE SHISONG,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,125 | 303 | 565
6e914dc76f0883bf,Nord-Ouest,HAMANI FOUNDATION SCHOOL OF SANTA,1,Infirmiers,1,302
442d72c29eed6dac,Nord-Ouest,"INSTITUT PRIVE ""ST. LOUIS HIGHER INSTITUTE OF HEALTH AND BIOMEDICAL SCIENCES"" DE BAMENDA",1,Odontostomatologie,1,468
4181872179124429,Ouest,COMPLEXE DE FORMATION DES PERSONNELS DE SANTE � ROIS MAGES � COFPSAROMA DE BALENG,1,Infirmiers,1,304
9345bf030e003d37,Ouest,"COMPLEXE PRIVE DE FORMATION DES PERSONNELS MEDICO-SANITAIRES ""FONDATION TSOPJIO ET TAKOUDJOU"" DE DSCHANG",2,Analyses Médicales | Infirmiers,2,126 | 305
4fb697ff616e9857,Ouest,COMPLEXE PRIVE DE FORMATION DU PERSONNEL DE LA SANTE DE MBOUO BANDJOUN,1,Analyses Médicales,1,130
c661778e576c48c2,Ouest,COMPLEXE PRIVE DE FORMATION DU PERSONNEL MEDICO-SANITAIRE DE MBOUDA,1,Infirmiers,1,308
2df6e8b4fa82fbac,Ouest,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,1,Infirmiers,1,309
555a83788a976cd8,Ouest,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,1,Infirmiers,1,310
3deff5f4e1339a25,Ouest,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,2,Analyses Médicales | Infirmiers,2,132 | 311
1f857ff37d843d66,Ouest,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,1,Sages-femmes/Maïeuticiens,1,569
0d5954e3222f2b0c,Ouest,ECOLE DES PROFESSIONNELS DE LA SANTE LES ETOILES DE BAFOUSSAM,1,Analyses Médicales,1,134
d68fd5fe93dee989,Ouest,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,4,Analyses Médicales | Infirmiers | Odontostomatologie | Sages-femmes/Maïeuticiens,4,136 | 312 | 471 | 570
052fee6bb83e913e,Ouest,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,1,Infirmiers,1,313
9749de38d2a326d4,Ouest,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",2,Analyses Médicales | Infirmiers,2,137 | 316
1bf3583dd49ae625,Ouest,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,139 | 317 | 567
5e08ee466c20e499,Ouest,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,1,Sages-femmes/Maïeuticiens,1,571
39e914512660e6f9,Ouest,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,2,Analyses Médicales | Infirmiers,2,141 | 318
1db0d0eeb36d3bb3,Ouest,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,1,Infirmiers,1,319
306c57d1e641d749,Ouest,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,143 | 320 | 568
493377b134cc0dab,Ouest,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,1,Analyses Médicales,1,145
0244b1aedf623544,Ouest,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,1,Odontostomatologie,1,472
40a36b2e22fbbafa,Ouest,INSTITUT INTERNATIONAL DE FORMATION DE PERSONNELS PARAMEDICAUX IFOPP DE FOUMBOT,1,Infirmiers,1,321
18a9ebb86b3bc67d,Ouest,"INSTITUT TROPICAL DE FORMATION EN PLAIES CHRONIQUES ET EN SOINS INFIRMIERS ""MOULLEC"" DE BALEVENG",1,Infirmiers,1,322
936694d262b91aa8,Ouest,INSTITUT UNIVERSITAIRE ROYAL BABOUTCHA NINTCHEU (IURB) DE BAFANG,1,Infirmiers,1,325
fac2a7bb9422faae,Sud,CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL CAMELOS (CFPS) DE BIWONG BANE,3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,146 | 326 | 572
fd6e291ccac2b8a8,Sud,ECOLE DE FORMATION DES PERSONNELS SANITAIRES � ECOLE PRIVEE LA GRACE� D'EBOLOWA,2,Analyses Médicales | Infirmiers,2,151 | 327
5226e154d4caef47,Sud,ECOLE DES INFIRMIERS DIPLOMES D'ETAT D'EBOLOWA,1,Infirmiers,1,329
5c32a3e7d77be43e,Sud,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE SANGMELIMA,1,Infirmiers,1,328
1acb4875d0567040,Sud,ECOLE DES SCIENCES MEDICALES DE BISOK (EBOLOWA),3,Analyses Médicales | Infirmiers | Sages-femmes/Maïeuticiens,3,154 | 330 | 573
cb81421d7d3ea5a4,Sud,ECOLE PRIVEE D'INFIRMIERS (EPI) D'ENONGAL - EBOLOWA,1,Infirmiers,1,333
d015f25720337c6c,Sud,"ECOLE PRIVEE DES INFIRMIERS ""FONDATION INSOLAFRICA"" DE KRIBI",1,Infirmiers,1,331
c0f1cd555242865d,Sud,ECOLE PRIVEE DES INFIRMIERS DE SANGMELIMA,2,Analyses Médicales | Infirmiers,2,156 | 332
90bbbd0a88846566,Sud,INSTITUT SUPERIEUR POLYVALENT ETOA AZEGUE ET KAS DE ZOETELE,3,Infirmiers | Prothèse Dentaire | Sages-femmes/Maïeuticiens,3,334 | 503 | 574
2a94ba72a169767c,Sud-Ouest,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE LIMBE,1,Infirmiers,1,335
8f8027c4a1e14405,Sud-Ouest,"ECOLE PRIVEE ""BIAKA UNIVERSITY INSTITUTE"" (ST. FRANCIS) DE BUEA",2,Infirmiers | Sages-femmes/Maïeuticiens,2,336 | 575
d7c854afeee06c86,Sud-Ouest,"ECOLE PRIVEE ""SWEPHTS"" DE MAMFE",1,Infirmiers,1,337
108084c4b0ebb820,Sud-Ouest,ECOLE PRIVEE DIVINE AMORE SCHOOL FOR MIDWIVES AND HEALTH PERSONNEL DE KUMBA,1,Infirmiers,1,338
cd99dc0d6e5c5212,Sud-Ouest,MAFLEKUMEN SCHOOL OF HEALTH SCIENCES OF TIKO,2,Analyses Médicales | Infirmiers,2,158 | 339
e222a3205259c1dd,Sud-Ouest,REDEMPTION MEDICAL FONDATION OF MUYUKA,1,Infirmiers,1,340
405a1b5d5e504a40,Sud-Ouest,ST JOAN OF ARC HIGHER INSTITUTE OF MEDICAL AND MANAGEMENT SCIENCES - BUEA,1,Odontostomatologie,1,473
