establishment_or_candidate,authority,identifier_type,identifier_value,source,already_present,proposed_action,confidence
2ad146c9-054a-4358-9a06-303bacdd401b,MINESUP,OPENING_AUTHORIZATION,N°17-08838/L/MINESUP/SG/DDES/ESUP/OPC du 31 août 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7a04ccbc-46b7-4ac3-8794-5d7fb7cbdbd7,MINESUP,CREATION_ORDER,N°05/0005/ MINESUP du 03 janvier 2005,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
7a04ccbc-46b7-4ac3-8794-5d7fb7cbdbd7,MINESUP,OPENING_AUTHORIZATION,N°05/0091/ MINESUP du 07 septembre 2005,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
73c5833a-c84d-4031-93ff-2d33bc05bcce,MINESUP,CREATION_ORDER,N°11/0039/MINESUP du 12 janvier 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
73c5833a-c84d-4031-93ff-2d33bc05bcce,MINESUP,OPENING_AUTHORIZATION,N°12/0360/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
61f2e11c-52ff-4075-9bd6-33c5e2ac4609,MINESUP,CREATION_ORDER,N°16-12392/L/MINESUP/SG/DDES/ESUP/SDA/AOSB du 11 novembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
61f2e11c-52ff-4075-9bd6-33c5e2ac4609,MINESUP,OPENING_AUTHORIZATION,N°16-12392/L/MINESUP/SG/DDES/ESUP/SDA/AOSB du 11 novembre 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3a874f94-090f-49a9-ab3b-6a8101712bd0,MINESUP,CREATION_ORDER,N°08/0095/MINESUP du 05 mai 2008,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
3a874f94-090f-49a9-ab3b-6a8101712bd0,MINESUP,OPENING_AUTHORIZATION,N°14/0402/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
57cab75a-b8b1-4d36-96a5-fffa6a1ea5ba,MINESUP,CREATION_ORDER,N°17-00294/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 17 janvier 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
57cab75a-b8b1-4d36-96a5-fffa6a1ea5ba,MINESUP,OPENING_AUTHORIZATION,N°17-00294/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 17 janvier 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
5f7d9f40-d412-4df5-af82-0aa636790eae,MINESUP,CREATION_ORDER,N°2705/MINFI/MINESUP du 17 Novembre 2015.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
5f7d9f40-d412-4df5-af82-0aa636790eae,MINESUP,OPENING_AUTHORIZATION,N°2705/MINFI/MINESUP du 17 Novembre 2015.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a2aaf363-a9a4-46c6-abab-bdbcac8cac70,MINESUP,CREATION_ORDER,N°11/0526/MINESUP/DDES du 05 octobre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
a2aaf363-a9a4-46c6-abab-bdbcac8cac70,MINESUP,OPENING_AUTHORIZATION,N°12/0368/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
832a1b35-56dc-4d58-8087-b8b25453ee41,MINESUP,CREATION_ORDER,N°2705/MINFI/MINESUP of 17 November 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
832a1b35-56dc-4d58-8087-b8b25453ee41,MINESUP,OPENING_AUTHORIZATION,N°2705/MINFI/MINESUP of 17 November 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e48b7790-d7c5-412e-bf95-abb2d7fce876,MINESUP,CREATION_ORDER,N°15/08258/L/MINESUP/SG/DDES/ESUP/SDA/MM du 02 septembre 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
e48b7790-d7c5-412e-bf95-abb2d7fce876,MINESUP,OPENING_AUTHORIZATION,N°15/08258/L/MINESUP/SG/DDES/ESUP/SDA/MM du 02 septembre 2015,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
4b2ca2ac-8da5-4bf9-95da-2d75482f6ac0,MINESUP,CREATION_ORDER,N°02/0050/MINESUP du 12 juin  2002.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
4b2ca2ac-8da5-4bf9-95da-2d75482f6ac0,MINESUP,OPENING_AUTHORIZATION,N°02 / 0064 / MINESUP du 16 juillet 2002.,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
62cb5449-2dbe-4460-a1d0-8a4788f96f4b,MINESUP,CREATION_ORDER,N°12/0660/MINESUP/SG/DDES du 23 novembre 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
62cb5449-2dbe-4460-a1d0-8a4788f96f4b,MINESUP,OPENING_AUTHORIZATION,N°14/0394/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
8ab8c4c6-9397-4650-a5e5-76e3d06c9f54,MINESUP,CREATION_ORDER,N°16-04349/L/MINESUP/SG/DDES/ESUP/SSIPES/AOSB du 27 avril 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
8ab8c4c6-9397-4650-a5e5-76e3d06c9f54,MINESUP,OPENING_AUTHORIZATION,N°16-04349/L/MINESUP/SG/DDES/ESUP/SSIPES/AOSB du 27 avril 2016,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
41f5e543-fe78-4496-a711-3ce5f4c6b9c3,MINESUP,CREATION_ORDER,N°11/0529/MINESUP/SG/DDES du 05 octobre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
41f5e543-fe78-4496-a711-3ce5f4c6b9c3,MINESUP,OPENING_AUTHORIZATION,N°12/0391/MINESUP du 17 août 2012,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
da36c1eb-2d7c-4250-8a19-d419dc5bdb70,MINESUP,CREATION_ORDER,N°17-07461/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 12 juin 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
da36c1eb-2d7c-4250-8a19-d419dc5bdb70,MINESUP,OPENING_AUTHORIZATION,N°17-07461/N/MINESUP/SG/DDES/ESUP/SDA/NJN/ebm du 12 juin 2017,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
9796b99c-c0d2-4afc-8b44-d485624ca70f,MINESUP,CREATION_ORDER,N°11/05815/MINESUP du 28 novembre 2011,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
9796b99c-c0d2-4afc-8b44-d485624ca70f,MINESUP,OPENING_AUTHORIZATION,N°14/0407/MINESUP/SG/DDES/ du 04 juillet 2014,establishment_registry_identifiers (déjà live),true,KEEP,OFFICIALLY_VERIFIED
