staging_id,name,identifier_type,identifier,status
c92fec8b-4166-4990-8d8b-ef8194505480,Laureate Higher Institute of Business and Administration (LAHIBA),OPENING_AUTHORIZATION,N°14/0395/MINESUP/SG/DDES/ du 04 juillet 2014,SAFE_NEW
9cb81063-6c34-4997-8053-356e9a3bdc80,"National Higher Institute of Business, Tourism and Hotel Management (NAHIBUTH)",CREATION_ORDER,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,SAFE_NEW
9cb81063-6c34-4997-8053-356e9a3bdc80,"National Higher Institute of Business, Tourism and Hotel Management (NAHIBUTH)",OPENING_AUTHORIZATION,N°17-07437/L/MINESUP/SG/DDES/ESUP/SDA/OAGS du 12 juillet 2017,SAFE_NEW
09de0337-4fa9-44d0-9584-08cf5cfb779f,National Polytechnic University Institute (NPUI),CREATION_ORDER,N°02/0053/MINESUP du,SAFE_NEW
09de0337-4fa9-44d0-9584-08cf5cfb779f,National Polytechnic University Institute (NPUI),OPENING_AUTHORIZATION,N°02/0074/MINESUP du 13 août 2002 complétée par l’arrêté N°06/0059/MINESUP du 02 juin 2006,SAFE_NEW
22021e99-1aee-4d7a-a964-e7b6a5cc8a88,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)",CREATION_ORDER,N°17-08215/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 08 août 2017,SAFE_NEW
22021e99-1aee-4d7a-a964-e7b6a5cc8a88,"Paul Nkwi Higher Institute of Management, Science, Arts and Technology (PN-HIMSAT)",OPENING_AUTHORIZATION,N°17-08215/L/MINESUP/SG/DDES/ESUP/SDA/OPC du 08 août 2017,SAFE_NEW
baaa34bc-c47c-45be-975e-6bd35854b142,Pauls’s Computer Higher Institute of Technology (PC-HITECH),CREATION_ORDER,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,SAFE_NEW
baaa34bc-c47c-45be-975e-6bd35854b142,Pauls’s Computer Higher Institute of Technology (PC-HITECH),OPENING_AUTHORIZATION,N°15/00760/MINESUP/SG/DDES/ESUP/SDA/NJN du 30 janvier 2015,SAFE_NEW
207d940b-48c0-4851-8e12-61bc873e9fb6,Pyramid Higher Institute of Professional Studies,CREATION_ORDER,N°13/0402/MINESUP/SG/DDES du 10 septembre 2013,SAFE_NEW
