official_id,official_name,region,raw_locality,category,status
4CE1GSFD101616111,CES de KING-PLACE-BATCHAM,OUEST,,secondary_general,REGION_ONLY_VALID
4CI1GSBD103242120,CES Bilingue de BAMENDJO-BAMETEGOU,OUEST,,secondary_general,REGION_ONLY_VALID
4CI1GSFD111795110,Lyce de KONTSA'A,OUEST,,secondary_general,REGION_ONLY_VALID
4EC1GSBD111504105,Lyce Bilingue de BAFANG,OUEST,,secondary_general,REGION_ONLY_VALID
4EC1GSFD111803106,Lyce de BAFANG-RURAL,OUEST,,secondary_general,REGION_ONLY_VALID
4EE1GSFD101181110,CES de BABOUTCHA-FONGAM,OUEST,,secondary_general,REGION_ONLY_VALID
4HE1GSFD110791110,Lyce Bilingue de BANGAM,OUEST,,secondary_general,REGION_ONLY_VALID
4HI1GSBD100487112,CES Bilingue de BAFAMGOUM I,OUEST,,secondary_general,REGION_ONLY_VALID
4IE1GSFD100476109,CES de BANGANG-FONDJI,OUEST,,secondary_general,REGION_ONLY_VALID
4IE1GSBD110474115,Lyce Bilingue de DJEBEM,OUEST,,secondary_general,REGION_ONLY_VALID
4JJ1GSBD103243120,CES Bilingue de BALESSING,OUEST,,secondary_general,REGION_ONLY_VALID
4JK1GSBD101308111,CES Bilingue d'ABACK-NKA,OUEST,,secondary_general,REGION_ONLY_VALID
4KC1GSBD103244120,CES Bilingue de NKOUEKOUON,OUEST,,secondary_general,REGION_ONLY_VALID
4KH1GSFD112398107,Lyce de DJUNANG,OUEST,,secondary_general,REGION_ONLY_VALID
4LC1GSBD103246120,CES Bilingue de BATCHINGOU-TOUSSEU,OUEST,,secondary_general,REGION_ONLY_VALID
4LC1GSBD103245120,CES Bilingue de BITCHOUA I,OUEST,,secondary_general,REGION_ONLY_VALID
4LC1GSFD111626110,Lyce de BANTUM,OUEST,,secondary_general,REGION_ONLY_VALID
4ME1GSBD112138097,Lyce Bilingue SULTAN IBRAHIM NJOYA,OUEST,,secondary_general,REGION_ONLY_VALID
4ME1GSFD112233107,Lyce de KOUPA-MATAPIT,OUEST,,secondary_general,REGION_ONLY_VALID
4MI1GSFD101512108,CES de NGBETNSOUEN II,OUEST,,secondary_general,REGION_ONLY_VALID
4MK1GSBD111937100,Lyce Bilingue de MAGBA,OUEST,,secondary_general,REGION_ONLY_VALID
4ML1GSBD103247120,CES Bilingue de NJINGA,OUEST,,secondary_general,REGION_ONLY_VALID
4MN1GSBD103248120,CES Bilingue de FOLAP,OUEST,,secondary_general,REGION_ONLY_VALID
2CE1GSFD102249108,CES de MINIM,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HE1GSBD103232120,CES Bilingue de MBIRIDJOM,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HC1GSBD112409108,Lyce Bilingue d'ATTA,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HC1GSFD110029109,Lyce de SONGKOLONG,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HE1GSBD103231120,CES Bilingue de MBAMTI-KATARKO,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HE1GSBD110503107,Lyce Bilingue de BANYO,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2HH1GSBD103233120,CES Bilingue de RIBAO,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2JC1GSFD100338111,CES de DJILOUGOU,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2JC1GSFD110093108,Lyce d'IDOOL,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2JH1GSFD111480114,Lyce de KARNA-MANGA,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
2JJ1GSFD111840074,Lyce Classique et Moderne de NGAOUNDERE,ADAMAOUA,,secondary_general,REGION_ONLY_VALID
1CE1GSFD102830115,CES d'HAMALADE,NORD,,secondary_general,REGION_ONLY_VALID
1CJ1GSFD110833098,Lyce de GAROUA-DJAMBOUTOU,NORD,,secondary_general,REGION_ONLY_VALID
1CL1GSFD102696114,CES d'HAIGA-DJEWA,NORD,,secondary_general,REGION_ONLY_VALID
1CL1GSFD102867115,CES de SANGUERE-NGAL,NORD,,secondary_general,REGION_ONLY_VALID
1CM1GSFD101470112,CES d'OURO-DOUKOUDJE,NORD,,secondary_general,REGION_ONLY_VALID
1CM1GSFD112222098,Lyce de LAGDO,NORD,,secondary_general,REGION_ONLY_VALID
1CN1GSFD111233109,Lyce de BARNDAKE,NORD,,secondary_general,REGION_ONLY_VALID
1CR1GSBD111260113,Lyce Bilingue de NGONG,NORD,,secondary_general,REGION_ONLY_VALID
1CR1GSFD112036108,Lyce de TCHEBOA,NORD,,secondary_general,REGION_ONLY_VALID
1CT1GSFD111213107,Lyce de TOUROUA,NORD,,secondary_general,REGION_ONLY_VALID
1EC1GSFD111160110,Lyce de TCHAMBA,NORD,,secondary_general,REGION_ONLY_VALID
1EE1GSFD102330113,CES de MAYO-BANTADJE,NORD,,secondary_general,REGION_ONLY_VALID
1EE1GSFD100775110,CES de POLI-RURAL,NORD,,secondary_general,REGION_ONLY_VALID
1HC1GSFD102866115,CES de BOUDVA,NORD,,secondary_general,REGION_ONLY_VALID
1HC1GSFD102678114,CES de DJABE-BIOU,NORD,,secondary_general,REGION_ONLY_VALID
1HC1GSFD100950112,CES de DJOUGUI,NORD,,secondary_general,REGION_ONLY_VALID
1HC1GSFD101069110,Lyce de BIDZAR,NORD,,secondary_general,REGION_ONLY_VALID
1HE1GSFD102334113,CES d'OURO-TARA,NORD,,secondary_general,REGION_ONLY_VALID
1HE1GSFD101315112,CES de MAYO-LOUE,NORD,,secondary_general,REGION_ONLY_VALID
1HH1GSBD103240120,CES Bilingue de BOSSOUM,NORD,,secondary_general,REGION_ONLY_VALID
1HH1GSBD111073115,Lyce Bilingue de MANDAMA,NORD,,secondary_general,REGION_ONLY_VALID
1IC1GSFD110800113,Lyce de GOR,NORD,,secondary_general,REGION_ONLY_VALID
1IC1GSFD110864106,Lyce de MANDINGRING,NORD,,secondary_general,REGION_ONLY_VALID
1IE1GSFD110704108,Lyce de BAIKWA,NORD,,secondary_general,REGION_ONLY_VALID
1IE1GSFD110868115,Lyce de BERE,NORD,,secondary_general,REGION_ONLY_VALID
1IH1GSFD102699114,CES de GOUGA,NORD,,secondary_general,REGION_ONLY_VALID
1II1GSFD102924114,CES de MAYO-LADEE,NORD,,secondary_general,REGION_ONLY_VALID
0CH1GSFD110296107,Lyce de GAZAWA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0CJ1GSFD111936113,Lyce de DOUALARE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0CK1GSBD111236092,Lyce Bilingue de MAROUA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0EK1GSFD103230120,CES d'AJAINE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0EM1GSFD102074099,CES d'AFADE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HC1GSBD103236120,CES Bilingue de LARA-WARSAYE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HE1GSFD112189115,Lyce de DOMPYA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HE1GSFD110346111,Lyce de NOULDAINA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HH1GSFD112080107,Lyce Bilingue de GUERE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HJ1GSFD102840116,CES de GUINANE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HK1GSFD102841116,CES de BOUZAR,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HK1GSFD102214113,CES de SIRLAWE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HM1GSBD103237120,CES Bilingue de SAOURINGWA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HM1GSFD112122103,Lyce de TCHATIBALI,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HQ1GSFD111100113,Lyce d'HOUGNO,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0HR1GSFD112467078,Lyce Classique et Moderne de YAGOUA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0IC1GSFD100441112,CES de MANDAIGOUM,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0IE1GSBD112065104,Lyce Bilingue de KAELE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0IH1GSBD112105114,Lyce Bilingue de MINDIF,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0IJ1GSFD110174111,Lyce de TITING,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0KE1GSFD110570115,Lyce de GAMDOUGOUM,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0KH1GSBD110579110,Lyce Bilingue de KOZA,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
0KK1GSFD110284113,Lyce de MOFOLE,EXTREME-NORD,,secondary_general,REGION_ONLY_VALID
