staging_id,name_raw,city,region,r3_classification,match_type,cartescolaire_matricule,cartescolaire_name,cartescolaire_scheme
7b95a190-43f6-42c1-8ca2-c9b2c1e5ee79,Lycée Bilingue d'Application,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41359H12,LYCEE BILINGUE D&#039;APPLICATION YAOUNDE,ALPHA_PREFIX
b50c363f-5b39-4ed0-affb-50593e37db83,Lycée de Nsam-Efoulan,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41359I17,LYCEE DE NSAM EFOULAN,ALPHA_PREFIX
8585fc29-47e5-48f1-aac4-e1ae2d122515,Lycée de Biyem-Assi,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41359I15,LYCEE DE BIYEM-ASSI,ALPHA_PREFIX
c9f8eb0b-eea8-4868-853a-9ee7b6fdae75,Lycée d'Afan Oyoa,Yaoundé,Centre,SOURCE_REVIEW,NO_MATCH,,,
07fb8a3b-97ef-4b43-b0aa-988976020786,Lycée d'Ahala,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41359I14,LYCEE D&#039;AHALA,ALPHA_PREFIX
54877dae-8e1f-4fac-ae25-fd3ffc62e9fd,Lycée Technique Industriel et Commercial Bilingue,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,CE21325L89,LYCEE TECHNIQUE INDUSTRIEL ET COMMERCIAL DE SA&#039;A,ALPHA_PREFIX
0fb18648-bb11-45c3-a136-341ed2070934,Lycée Technique Bilingue de Nsam-Efoulan,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41359I17,LYCEE DE NSAM EFOULAN,ALPHA_PREFIX
ed845d5a-f589-4182-a44f-012185c3a5c3,Lycée Technique d'Afan Oyoa,Yaoundé,Centre,SOURCE_REVIEW,NO_MATCH,,,
cd173df1-202b-4405-a1d4-bf09e6aea8ed,CETIC de Ngoa-Ekellé,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41359C37,CETIC DE NGOA EKELE,ALPHA_PREFIX
cd5c6bb3-3ff0-40a5-a53d-bb517a6ef582,CETIF de Ngoa Ekelle,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41359C37,CETIC DE NGOA EKELE,ALPHA_PREFIX
b14df660-7538-48b9-a3d8-a2a960b857d8,Lycée Bilingue d'Ekounou,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,11060301,INSTITUT GASOLENT D&#039;EKOUNOU,DIGIT_PREFIX
80725a1d-ba16-4d03-b32a-547b717a2a6d,Lycée Bilingue d'Anguissa,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41360I21,LYCEE D&#039;ANGUISSA,ALPHA_PREFIX
17fb5817-2774-4ad4-aa67-b9d6fced7768,Lycée Bilingue de Mimboman,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41360H20,LYCEE BILINGUE DE MIMBOMAN,ALPHA_PREFIX
e71eacf0-d530-47bd-8d40-0e561198ff25,Lycée d'Odza,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,11060283,COMPLEXE SCOLAIRE ADVENTISTE DE ODZA,DIGIT_PREFIX
a0185465-25cc-409a-a672-e963537ec35b,Lycée de Minkan,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41360I23,LYCEE DE MINKAN,ALPHA_PREFIX
265a2fb0-37ed-44bd-82f9-1b902cf64682,Lycée Technique d'Ekounou,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,11060301,INSTITUT GASOLENT D&#039;EKOUNOU,DIGIT_PREFIX
34c653cb-bb8a-40de-bff4-9f97be993e5b,Lycée Bilingue d'Essos,Yaoundé,Centre,SOURCE_REVIEW,NO_MATCH,,,
79fd8e28-022b-45ec-8b0e-a8c9a8525454,Lycée de Ngousso-Ngoulmekong,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41361I26,LYCEE DE NGOUSSO NGOULMEKONG,ALPHA_PREFIX
64179d48-78a6-48ec-a6e3-fb7ca4492fed,Lycée de Nkolmesseng,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41361I27,LYCEE DE NKOLMESSENG,ALPHA_PREFIX
fa1830a2-b09f-4226-aae0-57178be2881b,Lycée Bilingue de Mendong,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41362H30,LYCEE BILINGUE DE MENDONG,ALPHA_PREFIX
ff8f8bbf-b030-4f8d-a410-ff316ea101ae,Lycée Bilingue d'Etoug-Ebé,Yaoundé,Centre,DUPLICATE_REVIEW,EXACT_NAME,CE41362H29,LYCEE BILINGUE ETOUG EBE,ALPHA_PREFIX
0a4b6e02-c0ed-48af-885c-f65e99ef3917,Lycée d'Ekorezok,Yaoundé,Centre,DUPLICATE_REVIEW,PROBABLE,CE41363H31,LYCEE BILINGUE D&#039;EKOREZOK,ALPHA_PREFIX
a838f199-6514-4598-b9a2-dacb5041c0fe,Collège Jean Tabi,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11130035,COLLEGE JEAN XXIII D&#039;EFOK2,DIGIT_PREFIX
597e6376-f70d-46bf-8db3-1618656f25ab,Collège Bénoit XVI,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11130031,CEGTI SAINT BENOIT DE TALA,DIGIT_PREFIX
57c13a2e-9dda-4071-a284-a7e92c17fd7b,Collège Benigna d'Etoudi,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060118,COLLEGE BENIGNA D&#039;ETOUDI,DIGIT_PREFIX
e2d2aea9-1a8a-460a-b824-336000e4ff2f,Collège Notre-Dame de Mimetala,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11080070,COLLEGE NOTRE DAME DE MIMETALA,DIGIT_PREFIX
364585f3-261c-48d2-a3f8-c685bdf1b274,Collège Benisuza,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060282,COMPLEXE ACADEMIQUE BILINGUE BENISUZA,DIGIT_PREFIX
b31aea1f-d191-4e11-bc99-21ab49892dd1,Collège St Joseph de Messa Mvelé,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,10020002,COLLEGE BILINGUE SAINT JOSEPH DE BANKIM,DIGIT_PREFIX
09d0f53a-4bc4-4b2a-a6c3-bf795deb7714,Collège Notre-Dame des Victoires,Yaoundé,Centre,SOURCE_REVIEW,EXACT_NAME,11060330,COLLEGE NOTRE DAME DES VICTOIRES,DIGIT_PREFIX
7551ab3a-59fc-4cfd-870f-73e58d037428,Institut René Graffin,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060436,INSTITUT MGR RENE GRAFFIN,DIGIT_PREFIX
8f6415f7-d4f7-48a8-ba8e-3aeb148a1479,CETIF Benigna,Yaoundé,Centre,SOURCE_REVIEW,PROBABLE,11060118,COLLEGE BENIGNA D&#039;ETOUDI,DIGIT_PREFIX
