region,filiere_raw,program_normalized,raw_school_name,source_line
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT DES SCIENCES MEDICO SANITAIRES DE MAROUA (ISMESMA),552
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES SAGES FEMMES MAIEUTICIENS DE DOUALA,553
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT SUPERIEUR DE SANTE DE LA SANAGA MARITIME D'EDEA,554
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DE FORMATION DES PERSONNELS DE SANTE FONDATION BOBUIN DE DOUALA,555
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE INTERNATIONALE PARAMEDICALE DE DOUALA EPID,556
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT SUPERIEUR DES SCIENCES DE LA SANTE INNOVANTES DE DOUALA,557
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES INFIRMIERS DIPLOMES LA ROCHE DE SOUZA,558
Extrême-Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE DE FORMATION DES PROFESSIONNELS DE SANTE DE BWANG DOUALA,559
Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE DES INFIRMIERS DE GAROUA (EPIG),560
Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT DES SCIENCES DE LA SANTE DE PITOA,561
Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT DES SCIENCES DE LA SANTE DE NGONG (I3SN),562
Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DE FORMATION DES PERSONNELS DE SANTE DE GUIDER EFOPSAG,563
Nord,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES PROFESSIONS DE SANTE LES AIGLES DE GAROUA,564
Nord-Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE CATHOLIQUE DE SHISONG,565
Nord-Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES SAGES FEMMES DE BAMENDA,566
Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE DE FORMATION DU PERSONNEL DE LA SANTE DE BAFOUSSAM,567
Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,568
Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,569
Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES SCIENCES DE LA SANTE DE L'INSTITUT SUPERIEUR DE BAFANG,570
Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE DES SCIENCES DE LA SANTE MENO DE BAMENA,571
Sud,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,CENTRE DE FORMATION DU PERSONNEL PARAMEDICAL CAMELOS CFPS DE BIWONG BANE,572
Sud,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE DES SCIENCES MEDICALES DE BISOK EBOLOWA,573
Sud,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,INSTITUT SUPERIEUR POLYVALENT ETOA AZEGUE ET KAS DE ZOETELE,574
Sud-Ouest,SAGES-FEMMES/MAIEUTICIENS,Sages-femmes/Maïeuticiens,ECOLE PRIVEE BIAKA UNIVERSITY INSTITUTE ST FRANCIS DE BUEA,575
