relationship,overlap_ratio,school_a_id,school_a_name,school_b_id,school_b_name,reason
LIKELY_SAME_SCHOOL,0.67,3deff5f4e1339a25,ECOLE DES METIERS DE LA SANTE DE BAMOUGOUM,1f857ff37d843d66,ECOLE DES METIERS DE LA SANTE EMES DE BAMOUGOUM,"Chevauchement de mots significatifs élevé (67%) + mots significatifs d'un candidat inclus dans l'autre, même région — probablement la même école (variante de saisie), mais PAS fusionné automatiquement (§9 : pas de fuzzy auto merge)."
AMBIGUOUS,0.50,9749de38d2a326d4,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",493377b134cc0dab,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,9749de38d2a326d4,"ECOLE PRIVEE DE FORMATION DES PERSONNELS SANITAIRES ""SAINT JOSEPH"" DE BAFOUSSAM",052fee6bb83e913e,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,39e914512660e6f9,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,052fee6bb83e913e,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,39e914512660e6f9,ECOLE PRIVEE FONDATION JEUGEUVOU FOWANG DE BAFOUSSAM,1db0d0eeb36d3bb3,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,306c57d1e641d749,INSTITUT DES SCIENCES DE LA SANTE POOLA DE BAFOUSSAM,493377b134cc0dab,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,493377b134cc0dab,INSTITUT DES SCIENCES ET TECHNIQUES MEDICO-SANITAIRES DE BAFOUSSAM,0244b1aedf623544,INSTITUT DES SCIENCES MEDICO-SANITAIRES LES ARGUS DE BANDJOUN,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.75,2df6e8b4fa82fbac,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE BAFOUSSAM,555a83788a976cd8,ECOLE DES INFIRMIERS DIPLOMES D'ETAT DE FOUMBAN,"Chevauchement de mots partiel (75%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
AMBIGUOUS,0.50,052fee6bb83e913e,ECOLE PRIVEE DE FORMATION DES PERSONNELS DE SANTE FONDATION SAINT MAURICE DE BAFOUSSAM,1db0d0eeb36d3bb3,ECOLE PRIVEE FONDATION TCHUENTE DE BAFOUSSAM,"Chevauchement de mots partiel (50%), même région — ambigu, ne peut pas être classé automatiquement. Reste deux candidats séparés (§9)."
