official_id,official_name,region,locality,status,duplicate_of_establishment_id,match_type,match_reason
3KC1GSBD111735112,Lyce Bilingue de WUMUNDENG,NORD-OUEST,Ashong,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111081115,Lyce d'ANGIE,NORD-OUEST,ANGIE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111331109,Lyce d'ASHONG,NORD-OUEST,ASHONG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111682104,Lyce d'ENYOH,NORD-OUEST,ENYOH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111743109,Lyce d'EWOH,NORD-OUEST,EWOH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111515111,Lyce d'OGIM,NORD-OUEST,EFAH/KUGWE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111866092,Lyce de BATIBO,NORD-OUEST,Batibo,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111235112,Lyce de BESSI-AWUM,NORD-OUEST,BESSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD110904111,Lyce de GUZANG,NORD-OUEST,GUZANG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KC1GSAD111740109,Lyce de NGYEN-MUWAH,NORD-OUEST,NGYENMUWAH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD101746108,CES de BOME,NORD-OUEST,FUNAM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD101736106,CES de GUNEKU,NORD-OUEST,GUNEKU,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD101438109,CES de MBENGWI-RURAL,NORD-OUEST,MBENGWI RURAL,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD101733112,CES de NGAMUNGUH,NORD-OUEST,NGAMINUGUH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD100974111,CES de NJAAH,NORD-OUEST,NJAAH,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD100004107,CES de NJINDOM,NORD-OUEST,NJINDOM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSBD112223095,Lyce Bilingue de MBENGWI,NORD-OUEST,MBENGWI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KE1GSAD110046110,Lyce de TUDIG,NORD-OUEST,TUDIG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSBD100156112,CES Bilingue d'ABEBUNG,NORD-OUEST,ABEBUNG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSBD102817115,CES Bilingue de TEZE-NGIE,NORD-OUEST,TEZE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSAD100074109,CES d'AJEI,NORD-OUEST,AJEI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSAD100613110,CES d'AZEM,NORD-OUEST,AZEM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSAD100605106,CES de TINETCHUNG-VILLAGE,NORD-OUEST,TINETCHUNG,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KH1GSAD112029099,Lyce d'ANDEK-NGIE,NORD-OUEST,ANDEK,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KI1GSAD100949110,CES de BASSA,NORD-OUEST,BASSA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KI1GSAD101580109,CES de KONDA,NORD-OUEST,KONDA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KI1GSAD101568110,CES de NGWO,NORD-OUEST,NGWO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KI1GSAD110168111,Lyce d'OSHIE,NORD-OUEST,OSHIE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KI1GSAD111986091,Lyce de NJIKWA,NORD-OUEST,NJIKWA,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KJ1GSAD100946098,CES d'AKANUNKU-MENKA,NORD-OUEST,AKANUNKU,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KJ1GSAD100911109,CES d'EKA,NORD-OUEST,AMBELE,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KJ1GSAD101563109,CES d'OLORUNTI,NORD-OUEST,Ambele,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KJ1GSAD111572113,Lyce de BIFANG,NORD-OUEST,WIDIKUM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3KJ1GSAD111756100,Lyce de WIDIKUM,NORD-OUEST,ABEGUM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSBD102299113,CES Bilingue de MAMBIM,NORD-OUEST,BABESSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD102740114,CES de FONGOH,NORD-OUEST,Bangolan,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD102320113,CES de KAKETULOH-WUSHI,NORD-OUEST,BBABESSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD102307113,CES de KEFEUNG,NORD-OUEST,BABA 1,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD102351113,CES de KOKIBUE,NORD-OUEST,BABESSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD100201111,CES de MBINZU,NORD-OUEST,Babessi,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD101057111,CES de PAPIAKKUM,NORD-OUEST,PAPIAKKUM,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD101030111,CES de VENGO,NORD-OUEST,BABUNGO,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSBD112230107,Lyce Bilingue de BABESSI,NORD-OUEST,BABESSI,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSBD110787112,Lyce Bilingue de BANGOLAN,NORD-OUEST,,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
3LC1GSAD111076107,Lyce de BABA I,NORD-OUEST,BABA I,ready,,NEW_CANDIDATE,aucune correspondance production trouvée
