official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
Lycée Technique Bilingue de Maroua,lycee_technique_public,Maroua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=2142-lycee-technique-bilingue-de-maroua,tier3,ALREADY_LIVE,Lyce Bilingue de MAROUA
Lycée de Maroua-Kongola,lycee_public,Maroua,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=2136-lycee-de-maroua-kongola,tier3,ALREADY_LIVE,Lyce de MAROUA-KONGOLA
Lycée Bilingue de Maroua,lycee_public,Maroua,Wikipédia,https://fr.wikipedia.org/wiki/Lyc%C3%A9e_bilingue_de_Maroua,tier3,ALREADY_LIVE,Lyce Bilingue de MAROUA
