city,official_name,category_hint,source_name,source_url,source_type,match_type,matched_against
Douala,Lycée Technique de Douala-Koumassi,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de New-Bell,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,ALREADY_LIVE,Lycée de New Bell
Douala,Lycée Mongo Joseph,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Nyalla,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Génie Militaire,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée de Japoma,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de PK21-Massoumbou,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Ngodi-Bakoko,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Bobongo Petit-Paris,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée d'Oyack,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée de Ndog Hem,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Nylon Ndogpassi,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Nylon-Brazzaville,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Technique de Nylon-Ndogpassi ZR,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Polyvalent de Bonabéri,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée de Sodiko,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Bonassama,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Bonabéri,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Bojongo,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Mambanda,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Technique de Bonabéri-Bonendalè,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Makepe,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée d'Akwa-Nord Bonamoussadi,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée de la Cité des Palmiers,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,REVIEW_REQUIRED,Complexe Scolaire Bilingue Les Palmiers
Douala,Lycée Bilingue de Logpom,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Bépanda,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,CES de la Cité Sic,ces_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Technique de Douala Bassa,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,REVIEW_REQUIRED,Lycée Technique de Bassa
Douala,CETIC de Logbessou,cetic_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Lycée Bilingue de Manoka,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirelittoral0.jimdofree.com/secondaire/littoral/etablissements-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Douala,Sacred Heart College Douala,college_confessionnel,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Mother Teresa's College Bonaberi,college_confessionnel,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,All Saints Bilingual College Bonaberi,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Douala Academy Of Arts & Science Bonaberi,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Atlantic Bilingual College Douala,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Horizon Bilingual Educational Complex Douala,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,CBS Bonapriso,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,LMBC Bonamoussadi,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Collège Bilingue Saint Laurent de Douala,college_bilingue,InovEdu / ecolesaucameroun.com,https://ecolesaucameroun.com/etat-ecole?id=2788-college-bilingue-saint-laurent-de-douala,tier3,REVIEW_REQUIRED,École Catholique Saint-Michel
Douala,National Bilingual College Bonaberi,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Saint Lawrence Comprehensive College Douala,college_confessionnel,Recherche web générale,,tier3,REVIEW_REQUIRED,École Catholique Saint-Michel
Douala,Collège privé Montesquieu,college,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Lycée français Dominique-Savio,lycee_prive,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,Collège privé Sainte-Marthe,college_confessionnel,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,COLLEGE BILINGUE EXCELLENCE TERCIO,college_bilingue,InovEdu,https://www.inovedu.net/fr/schooldirectory/schools/cameroon/douala/secondaire/college-bilingue-excellence-tercio,tier3,SOURCE_VERIFIED_REVIEW,
Douala,COLLEGE POLYVALENT BILINGUE BAHO,college_bilingue,InovEdu,https://www.inovedu.net/fr/schooldirectory/schools/cameroon/douala/secondaire/college-polyvalent-bilingue-baho,tier3,SOURCE_VERIFIED_REVIEW,
Douala,COLLEGE BILINGUE DU CENTRE,college_bilingue,ecolesaucameroun.com,https://ecolesaucameroun.com/ecole.php?id=2967-college-bilingue-du-centre-arrondissement-de-douala-v,tier3,REVIEW_REQUIRED,Centre de Formation en Informatique et Bureautique (CFIB)
Douala,COLLEGE POLYVALENT BILINGUE DU VAAL,college_bilingue,InovEdu,https://www.inovedu.net/fr/schooldirectory/schools/cameroon/douala/secondaire/college-polyvalent-bilingue-du-vaal,tier3,REVIEW_REQUIRED,DU VAAL International School
Douala,Collège Bilingue le Québécois,college_bilingue,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Douala,"Étoiles des Anges (PK19, Entrée Chefferie)",college_et_lycee,Recherche web générale / Groupe des Anges Douala,https://groupedesanges.com/groupe-des-anges-douala-primaire-secondaire/,tier3,REVIEW_REQUIRED,Garderie Bilingue Les Étoiles
Yaoundé,Lycée d'Emana,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Nkolondom,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Mballa II,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée d'Elig-Essono,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue de Nkoleton,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,CES de Nyom,ces_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique Charles Atangana,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/technique-ca/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique de Nsam-Efoulan,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de la Cité Verte,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Tsinga,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Technique de Yaoundé II,lycee_technique_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Ngoa-Ekellé,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée Bilingue d'Application,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Nsam-Efoulan,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
Yaoundé,Lycée de Biyem-Assi,lycee_public,Osidimbea — La Mémoire du Cameroun,https://memoirecentre0.jimdofree.com/secondaire/centre/mfoundi-publics/,tier3,SOURCE_VERIFIED_REVIEW,
