official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
National Comprehensive High School Limbe,lycee_public,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Government Bilingual High School Limbe,lycee_public,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Saker Baptist College,college_confessionnel,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Government High School Limbe,lycee_public,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Enrichetta Comprehensive Secondary School,college,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Royal Bilingual College Isokolo,college_bilingue,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Hope High School Idenau,college,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Presbyterian Girls Secondary School Limbe,college_confessionnel,Limbe,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
