official_name,category_hint,city,source_name,source_url,source_type,match_type,matched_against
Sacred Heart College Mankon (SAHECO),college_confessionnel,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Our Lady of Lourdes College Mankon,college_confessionnel,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Presbyterian Secondary College Bamenda,college_confessionnel,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Progressive Comprehensive School Bamenda,college,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
PSS Mankon (WTTC Mankon),college,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Government Bilingual High School Bamenda,lycee_public,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
Gospel Secondary School Bamenda,college_confessionnel,Bamenda,Recherche web générale,,tier3,INSUFFICIENT_SOURCE,
